item_name,station,day_served,meal_time,calories,contains_eggs,contains_fish,contains_milk,contains_peanuts,contains_shellfish,contains_soy,contains_treenuts,contains_wheat,is_gluten_free,is_halal,is_kosher,is_locally_grown,is_organic,is_vegan,is_vegetarian
overnight apples 'n' oats,dtg,wednesday,breakfast,200,False,False,True,False,False,False,False,False,False,,,False,False,False,True
banana bread,dtg,wednesday,breakfast,170,,,,,,,,,,,,False,False,False,True
carrot raisin mini muffin,dtg,wednesday,breakfast,100,True,False,True,False,False,True,False,True,False,,,False,False,False,True
cherry cobbler bread,dtg,wednesday,breakfast,280,True,False,True,False,False,True,False,True,False,,,False,False,False,True
powdered sugar donut,dtg,wednesday,breakfast,280,True,False,True,False,False,True,False,True,False,True,True,False,False,False,True
grits,green st. soup,wednesday,breakfast,90,False,False,False,False,False,False,False,False,False,True,True,False,False,True,True
old fashioned oatmeal,green st. soup,wednesday,breakfast,110,False,False,False,False,False,False,False,False,False,True,True,False,False,True,True
biscuits & sausage gravy,streetfare,wednesday,breakfast,570,True,False,True,False,False,True,False,True,False,,,False,False,False,False
"bacon, egg & cheese muffin",streetfare,wednesday,breakfast,360,True,False,True,False,False,True,False,True,False,False,False,False,False,False,False
breakfast burrito,streetfare,wednesday,breakfast,400,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False
scrambled eggs,streetfare,wednesday,breakfast,140,True,False,True,False,False,False,False,False,True,,True,False,False,False,True
almond milk french toast,streetfare,wednesday,breakfast,200,,,,,,,,,,,,False,False,True,True
hash brown potato patty,streetfare,wednesday,breakfast,130,False,False,False,False,False,False,False,False,True,,,False,False,False,False
o'brien potatoes,streetfare,wednesday,breakfast,150,False,False,False,False,False,False,False,False,True,True,True,False,False,True,True
turkey sausage patty,streetfare,wednesday,breakfast,90,False,False,False,False,False,False,False,False,True,,,False,False,False,False
overnight apples 'n' oats,dtg,thursday,breakfast,200,False,False,True,False,False,False,False,False,False,,,False,False,False,True
apple cinnamon mini muffin,dtg,thursday,breakfast,90,True,False,True,False,False,True,False,True,False,True,,False,False,False,True
banana bread,dtg,thursday,breakfast,170,,,,,,,,,,,,False,False,False,True
southern biscuit,dtg,thursday,breakfast,190,False,False,True,False,False,False,False,True,False,,True,False,False,False,True
powdered sugar donut,dtg,thursday,breakfast,280,True,False,True,False,False,True,False,True,False,True,True,False,False,False,True
grits,green st. soup,thursday,breakfast,90,False,False,False,False,False,False,False,False,False,True,True,False,False,True,True
old fashioned oatmeal,green st. soup,thursday,breakfast,110,False,False,False,False,False,False,False,False,False,True,True,False,False,True,True
biscuits & sausage gravy,streetfare,thursday,breakfast,570,True,False,True,False,False,True,False,True,False,,,False,False,False,False
"bacon, egg & cheese muffin",streetfare,thursday,breakfast,360,True,False,True,False,False,True,False,True,False,False,False,False,False,False,False
sunrise tex-mex taco,streetfare,thursday,breakfast,280,,,,,,,,,,,,False,False,False,False
scrambled eggs,streetfare,thursday,breakfast,140,True,False,True,False,False,False,False,False,True,,True,False,False,False,True
almond milk french toast,streetfare,thursday,breakfast,200,,,,,,,,,,,,False,False,True,True
crispy tater tots,streetfare,thursday,breakfast,120,,,,,,,,,,True,,False,False,False,False
hash brown potato patty,streetfare,thursday,breakfast,130,False,False,False,False,False,False,False,False,True,,,False,False,False,False
bacon,streetfare,thursday,breakfast,90,False,False,False,False,False,False,False,False,True,,,False,False,False,False
overnight apples 'n' oats,dtg,friday,breakfast,200,False,False,True,False,False,False,False,False,False,,,False,False,False,True
banana bread,dtg,friday,breakfast,170,,,,,,,,,,,,False,False,False,True
chocolate chip scone,dtg,friday,breakfast,160,True,False,True,False,False,True,False,True,False,True,,False,False,False,True
whole grain lemon poppy mini muffin,dtg,friday,breakfast,110,True,False,True,False,False,True,False,True,False,True,,False,False,False,True
powdered sugar donut,dtg,friday,breakfast,280,True,False,True,False,False,True,False,True,False,True,True,False,False,False,True
grits,green st. soup,friday,breakfast,90,False,False,False,False,False,False,False,False,False,True,True,False,False,True,True
old fashioned oatmeal,green st. soup,friday,breakfast,110,False,False,False,False,False,False,False,False,False,True,True,False,False,True,True
biscuits & sausage gravy,streetfare,friday,breakfast,570,True,False,True,False,False,True,False,True,False,,,False,False,False,False
"bacon, egg & cheese muffin",streetfare,friday,breakfast,360,True,False,True,False,False,True,False,True,False,False,False,False,False,False,False
"ham, egg & cheese bagel",streetfare,friday,breakfast,310,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False
scrambled eggs,streetfare,friday,breakfast,140,True,False,True,False,False,False,False,False,True,,True,False,False,False,True
almond milk french toast,streetfare,friday,breakfast,200,,,,,,,,,,,,False,False,True,True
hash brown potato patty,streetfare,friday,breakfast,130,False,False,False,False,False,False,False,False,True,,,False,False,False,False
lyonnaise potatoes,streetfare,friday,breakfast,120,False,False,False,False,False,False,False,False,True,,True,False,False,True,True
pork sausage patty,streetfare,friday,breakfast,180,False,False,False,False,False,False,False,False,True,,,False,False,False,False
overnight apples 'n' oats,dtg,sunday,breakfast,200,False,False,True,False,False,False,False,False,False,,,False,False,False,True
banana bread,dtg,sunday,breakfast,170,,,,,,,,,,,,False,False,False,True
blueberry whole grain mini muffin,dtg,sunday,breakfast,80,True,False,True,False,False,True,False,True,False,,,False,False,False,False
iced cinnamon roll,dtg,sunday,breakfast,220,True,False,True,False,False,True,False,True,False,,True,False,False,False,True
powdered sugar donut,dtg,sunday,breakfast,280,True,False,True,False,False,True,False,True,False,True,True,False,False,False,True
grits,green st. soup,sunday,breakfast,90,False,False,False,False,False,False,False,False,False,True,True,False,False,True,True
old fashioned oatmeal,green st. soup,sunday,breakfast,110,False,False,False,False,False,False,False,False,False,True,True,False,False,True,True
biscuits & sausage gravy,streetfare,sunday,breakfast,570,True,False,True,False,False,True,False,True,False,,,False,False,False,False
"bacon, egg & cheese muffin",streetfare,sunday,breakfast,360,True,False,True,False,False,True,False,True,False,False,False,False,False,False,False
broccoli & cheddar strata,streetfare,sunday,breakfast,240,True,False,True,False,False,True,False,True,False,False,,False,False,False,True
scrambled eggs,streetfare,sunday,breakfast,140,True,False,True,False,False,False,False,False,True,,True,False,False,False,True
almond milk french toast,streetfare,sunday,breakfast,200,,,,,,,,,,,,False,False,True,True
hash brown potato patty,streetfare,sunday,breakfast,130,False,False,False,False,False,False,False,False,True,,,False,False,False,False
pork sausage links,streetfare,sunday,breakfast,240,False,False,False,False,False,False,False,False,True,,,False,False,False,False
belgian waffle,dtg,wednesday,lunch,260,False,False,True,False,False,False,False,True,False,True,True,False,False,False,True
signature chips,green st. deli,wednesday,lunch,140,False,False,False,False,False,False,False,False,True,,,False,False,False,False
spicy feta with cauliflower toast,green st. lto,wednesday,lunch,360,False,False,True,False,False,True,False,True,False,False,False,False,False,False,True
chicken tenders and fries,ignite grill,wednesday,lunch,620,False,False,False,False,False,False,False,True,False,,,False,False,False,False
gardenburger black bean burger,ignite grill,wednesday,lunch,270,False,False,False,False,False,True,False,True,False,,True,False,False,True,True
hamburger,ignite grill,wednesday,lunch,330,False,False,False,False,False,False,False,True,False,,,False,False,False,False
grilled herb chicken sandwich,ignite grill,wednesday,lunch,330,False,False,False,False,False,False,False,True,False,False,,False,False,False,False
philly cheesesteak,ignite grill,wednesday,lunch,490,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False
crispy shoestring french fries,ignite grill,wednesday,lunch,150,False,False,False,False,False,False,False,False,True,True,,False,False,False,False
eggplant parmesan melt,ignite lto,wednesday,lunch,480,,,,,,,,,,,,False,False,False,False
"pork, salami and swiss melt",green st. panini,wednesday,lunch,430,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False
"chicken, bacon & ranch panini",green st. panini,wednesday,lunch,520,True,False,True,False,False,True,False,True,False,False,False,False,False,False,False
grilled cheese sandwich,green st. panini,wednesday,lunch,430,True,False,True,False,False,True,False,False,True,False,,False,False,False,True
chipotle chicken quesadilla,green st. panini,wednesday,lunch,490,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False
broccoli cheddar soup,green st. panini,wednesday,lunch,200,False,False,True,False,False,True,False,True,False,,,False,False,False,False
chicken noodle soup,green st. panini,wednesday,lunch,70,,,,,,,,,,,,False,False,False,False
cilantro-lime barley,uc veg hand held,wednesday,lunch,130,False,False,False,False,False,False,False,False,False,,,False,False,True,True
turmeric & quinoa basmati rice,uc veg hand held,wednesday,lunch,110,False,False,False,False,False,False,False,False,True,,True,False,False,True,True
blanched cauliflower,uc veg hand held,wednesday,lunch,15,False,False,False,False,False,False,False,False,True,True,True,False,False,True,True
blanched fresh kale,uc veg hand held,wednesday,lunch,10,False,False,False,False,False,False,False,False,True,True,,False,False,True,True
mediterranean saute with orzo,uc veg hot,wednesday,lunch,250,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True
vegetarian chorizo bowl,uc veg lto,wednesday,lunch,590,False,False,True,False,False,True,False,True,False,False,False,False,False,False,True
grilled veg & hummus pita,uc veg lto,wednesday,lunch,370,,,,,,,,,,,,False,False,False,True
strawberry chia toast,uc veg lto,wednesday,lunch,190,False,False,True,False,False,True,False,True,False,False,,False,False,False,True
vegan kale caesar salad,uc veg salad bar,wednesday,lunch,440,,,,,,,,,,,,False,False,True,True
veggie antioxidant salad,uc veg salad bar,wednesday,lunch,310,,,,,,,,,,,,False,False,False,True
marinated green beans & tomato,uc veg salad bar,wednesday,lunch,45,False,False,False,False,False,False,False,False,True,True,,False,False,True,True
rice noodles,uc veg soup,wednesday,lunch,210,,,,,,,,,,,,False,False,True,True
spicy vegetable gumbo,uc veg soup,wednesday,lunch,40,False,False,False,False,False,False,False,False,True,,,False,False,True,True
korean vegetable broth,uc veg soup,wednesday,lunch,5,,,,,,,,,,,,False,False,True,True
dijon fall salad,vespa lto,wednesday,lunch,350,,,,,,,,,,,,False,False,False,False
garlic herb breadstick,vespa pasta,wednesday,lunch,180,True,False,True,False,False,True,False,True,False,,,False,False,False,True
pesto cavatappi & vegetables,vespa pizza,wednesday,lunch,280,,,,,,,,,,,,False,False,False,True
classic cheese pizza,vespa pizza,wednesday,lunch,250,True,False,True,False,False,True,False,True,False,True,,False,False,False,True
mushroom & sausage pizza,vespa pizza,wednesday,lunch,310,True,False,True,False,False,True,False,True,False,,False,False,False,False,False
pepperoni pizza,vespa pizza,wednesday,lunch,280,True,False,True,False,False,True,False,True,False,,False,False,False,False,False
belgian waffle,dtg,thursday,lunch,260,False,False,True,False,False,False,False,True,False,True,True,False,False,False,True
signature chips,green st. deli,thursday,lunch,140,False,False,False,False,False,False,False,False,True,,,False,False,False,False
strawberry chia toast,green st. lto,thursday,lunch,190,False,False,True,False,False,True,False,True,False,False,,False,False,False,True
chicken tenders and fries,ignite grill,thursday,lunch,620,False,False,False,False,False,False,False,True,False,,,False,False,False,False
gardenburger black bean burger,ignite grill,thursday,lunch,270,False,False,False,False,False,True,False,True,False,,True,False,False,True,True
hamburger,ignite grill,thursday,lunch,330,False,False,False,False,False,False,False,True,False,,,False,False,False,False
grilled herb chicken sandwich,ignite grill,thursday,lunch,330,False,False,False,False,False,False,False,True,False,False,,False,False,False,False
philly cheesesteak,ignite grill,thursday,lunch,490,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False
crispy shoestring french fries,ignite grill,thursday,lunch,150,False,False,False,False,False,False,False,False,True,True,,False,False,False,False
italian pork & spinach hoagie,ignite lto,thursday,lunch,640,False,False,True,False,False,True,False,True,False,False,,False,False,False,False
"pork, salami and swiss melt",green st. panini,thursday,lunch,430,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False
"chicken, bacon & ranch panini",green st. panini,thursday,lunch,520,True,False,True,False,False,True,False,True,False,False,False,False,False,False,False
grilled cheese sandwich,green st. panini,thursday,lunch,430,True,False,True,False,False,True,False,False,True,False,,False,False,False,True
chipotle chicken quesadilla,green st. panini,thursday,lunch,490,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False
broccoli cheddar soup,green st. panini,thursday,lunch,200,False,False,True,False,False,True,False,True,False,,,False,False,False,False
chicken noodle soup,green st. panini,thursday,lunch,70,,,,,,,,,,,,False,False,False,False
cilantro-lime barley,uc veg hand held,thursday,lunch,130,False,False,False,False,False,False,False,False,False,,,False,False,True,True
